route_type;case;origin_destination;departure_time;player;itinerary;leg;duration_leg;modal;line;fare;itinerary_duration
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;1;1;727;WALK;;765;3770
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;1;2;1685;RAIL;CPTM L11;765;3770
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;1;3;167;WALK;;765;3770
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;1;4;756;SUBWAY;METRÔ L4;765;3770
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;1;5;61;WALK;;765;3770
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;1;6;161;BUS;856R-10;765;3770
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;1;7;49;WALK;;765;3770
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;2;1;727;WALK;;765;3796
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;2;2;1685;RAIL;CPTM L11;765;3796
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;2;3;167;WALK;;765;3796
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;2;4;756;SUBWAY;METRÔ L4;765;3796
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;2;5;61;WALK;;765;3796
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;2;6;126;BUS;875C-10;765;3796
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;2;7;49;WALK;;765;3796
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;3;1;727;WALK;;765;3991
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;3;2;1685;RAIL;CPTM L11;765;3991
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;3;3;167;WALK;;765;3991
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;3;4;756;SUBWAY;METRÔ L4;765;3991
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;3;5;475;WALK;;765;3991
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;4;1;727;WALK;;765;4111
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;4;2;1685;RAIL;CPTM L11;765;4111
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;4;3;167;WALK;;765;4111
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;4;4;756;SUBWAY;METRÔ L4;765;4111
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;OTP;4;5;475;WALK;;765;4111
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;1;1;598;WALK;;748;5074
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;1;2;1225;BUS;2014-10;748;5074
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;1;3;1776;BUS;177Y-10;748;5074
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;1;4;233;WALK;;748;5074
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;1;5;680;RAIL;CPTM L09;748;5074
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;1;6;514;WALK;;748;5074
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;2;1;598;WALK;;430;5239
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;2;2;900;BUS;2014-10;430;5239
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;2;3;1456;BUS;778J-10;430;5239
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;2;4;59;WALK;;430;5239
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;2;5;600;BUS;576M-10;430;5239
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;2;6;870;BUS;709M-10;430;5239
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;OTP;2;7;123;WALK;;430;5239
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;1;1;195;WALK;;765;5929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;1;2;116;BUS;2705-10;765;5929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;1;3;677;WALK;;765;5929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;1;4;1685;RAIL;CPTM L11;765;5929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;1;5;151;WALK;;765;5929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;1;6;963;SUBWAY;METRÔ L1;765;5929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;1;7;11;WALK;;765;5929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;1;8;1521;SUBWAY;METRÔ L5;765;5929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;1;9;129;WALK;;765;5929
